dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.214980,15.995957,0.003518,0.140712,2.814248,56.284969,0.000943
0.050000,5.217692,15.995955,0.006229,0.054223,-1.729795,-90.880867,6.282762
0.050000,5.245645,15.995901,0.034182,0.559062,10.096781,236.531518,6.279694
0.050000,5.295365,15.995592,0.083903,0.994421,8.707188,-27.791867,6.274262
0.050000,5.373119,15.994570,0.161664,1.555223,11.216032,50.176891,6.265834
0.050000,5.485224,15.991949,0.273800,2.242709,13.749732,50.674003,6.253830
0.050000,5.638068,15.986227,0.426751,3.059031,16.326437,51.534100,6.237758
0.050000,5.838134,15.975066,0.627128,4.007530,18.969969,52.870625,6.217267
0.050000,6.088874,15.955372,0.878640,5.030254,20.454487,29.690363,6.192518
0.050000,6.390679,15.923573,1.182116,6.069506,20.785039,6.611047,6.164194
0.050000,6.743975,15.875695,1.538641,7.130499,21.219869,8.696601,6.133197
0.050000,7.149219,15.807570,1.949572,8.218622,21.762446,10.851544,6.100647
0.050000,7.603737,15.715819,2.413258,9.273716,21.101887,-13.211177,6.068090
0.050000,8.101700,15.598731,2.924801,10.230864,19.142962,-39.178515,6.037291
0.050000,8.637347,15.456168,3.479096,11.085895,17.100623,-40.846779,6.009847
0.050000,9.205073,15.289676,4.070731,11.832707,14.936240,-43.287650,5.987099
0.050000,9.799493,15.102431,4.693945,12.464278,12.631407,-46.096665,5.970102
0.050000,10.415460,14.899042,5.342622,12.973535,10.185146,-48.925224,5.959618
0.050000,11.048004,14.685265,6.010314,13.353852,7.606332,-51.576269,5.956135
0.050000,11.689684,14.468490,6.687621,13.546131,3.845579,-75.215077,5.959860
0.050000,12.332714,14.256457,7.364707,13.541722,-0.088165,-78.674863,5.970642
0.050000,12.971249,14.055858,8.034011,13.386081,-3.112835,-60.493415,5.988049
0.050000,13.598694,13.872719,8.687637,13.072515,-6.271320,-63.169684,6.011368
0.050000,14.207516,13.711951,9.317327,12.593813,-9.574037,-66.054341,6.039589
0.050000,14.789185,13.576927,9.914462,11.942693,-13.022394,-68.967148,6.071399
0.050000,15.334266,13.469151,10.470096,11.112693,-16.600010,-71.552311,6.105215
0.050000,15.832681,13.388104,10.975057,10.099215,-20.269560,-73.391007,6.139266
0.050000,16.276922,13.331030,11.422950,8.957857,-22.827151,-51.151829,6.171917
0.050000,16.663550,13.293649,11.811381,7.768615,-23.784849,-19.153949,6.201934
0.050000,16.990624,13.271338,12.139215,6.556686,-24.238576,-9.074537,6.228379
0.050000,17.256744,13.259681,12.405590,5.327506,-24.583589,-6.900260,6.250539
0.050000,17.463899,13.254736,12.612804,4.144277,-23.664586,18.380050,6.268152
0.050000,17.618390,13.253441,12.767301,3.089927,-21.087008,51.551558,6.281479
0.050000,17.727794,13.253775,12.876705,2.188085,-18.036828,61.003597,0.007824
0.050000,17.799842,13.254566,12.948758,1.441056,-14.940590,61.924777,0.014139
0.050000,17.842345,13.255247,12.991265,0.850158,-11.817945,62.452887,0.017879
0.050000,17.863149,13.255638,13.012073,0.416153,-8.680106,62.756778,0.019713
0.050000,17.870121,13.255777,13.019047,0.139478,-5.533503,62.932060,0.020329
0.050000,17.871133,13.255798,13.020059,0.020242,-2.384710,62.975867,0.020418
0.050000,17.871133,13.255798,13.020059,0.000000,-0.404849,39.597210,0.020418
